year,USD,EUR,JPY,GBP,CNY,CAD,AUD,Other
2000,71.1,17.9,6.3,2.8,0.0,0.4,0.2,1.3
2003,65.8,25.3,4.1,2.8,0.0,0.3,0.2,1.5
2006,65.5,25.1,3.2,4.2,0.0,0.5,0.4,1.1
2009,62.1,27.6,2.9,4.3,0.0,1.3,1.7,0.1
2012,61.9,23.9,4.0,4.0,0.0,1.5,1.8,2.9
2015,63.6,20.5,3.8,4.9,0.0,1.8,1.9,3.5
2017,62.7,20.1,4.5,4.4,1.2,2.0,1.8,3.3
2019,60.9,20.1,5.7,4.6,1.9,2.0,1.8,3.0
2021,58.8,20.6,5.5,4.8,2.7,2.2,1.9,3.5
2022,58.4,19.7,5.3,4.7,2.7,2.4,2.1,4.7
2023,58.0,19.9,5.7,4.8,2.3,2.5,2.2,4.6
2024,57.4,20.0,5.4,4.8,2.2,2.6,3.3,4.3
2025,56.9,20.0,5.6,4.8,2.1,2.7,3.4,4.5
